Empresa;Tipo de Lead;Contato;Atuação;Instagram;Estado;Cidade;Telefone;Observação
BANHA PIPAS E FOGOS;Qualificado;;Lojista;https://www.instagram.com/banhapip?igsh=aTg4c2l4MzBlaDJy;SÃO PAULO;SAO PAULO;(11) 94798 9437;Visitado em 2024. Alexandre está prospectando · seguindo no Instagram
BARATÃO DOS FOGOS;Qualificado;;Lojista;https://www.instagram.com/fogosbaratao/;RIO DE JANEIRO;SAQUAREMA;(22) 99967 0999;Ainda não é cliente. Prospectando · seguindo no Instagram
BARCA EFEITOS;Qualificado;;Shows;https://www.instagram.com/barcaefeitos?igsh=Z3I5czR5bWJqMnU1;ALAGOAS;MACEIO;(82) 3075 0676;Relevante no Instagram. Bastante seguidores conhecidos. portunidade para contato · seguindo no Instagram
BARRACA DE FOGOS DO SEU BISPO;Qualificar;;Lojista;;BAHIA;ALAGOINHAS;75998095493;
BARRACA DE FOGOS MARTIN DE ANGOLAR;Qualificar;;Lojista;;SERGIPE;ARACAJU;79996071650;
BARRACA DE FOGOS O BRASILEIRO 05;Qualificar;;Lojista;;SERGIPE;ARACAJU;(79) 99822 7019;
BARRACA DE FOGOS PANCADÃO;Qualificar;;Lojista;;SERGIPE;ARACAJU;79998292071;
BARRACA DE FOGOS SÃO JOÃO;Qualificar;;Lojista;;PERNAMBUCO;SALGUEIRO;(87) 98809 9924;
BARRACA DE FOGOS SÃO JOÃO;Qualificar;;Lojista;;SERGIPE;ARACAJU;;
BARRADA DE FOGOS SANTO ANTÔNIO;Qualificar;;Lojista;;BAHIA;VITÓRIA DA CONQUISTA;(77)999998714;
BAURU FOGOS;Em conversão;Adriana;Lojista;;SÃO PAULO;BAURU;(14) 99734.2004;seguindo no Instagram
BAZAR BAHIA LTDA;Qualificar;;Lojista;;RIO GRANDE DO SUL;PORTO ALEGRE;(51) 3221 4820 - (51) 3222 9977;
BAZAR CACIQUE;Qualificar;;Lojista;;ALAGOAS;MACEIO;8230264742;
BAZAR CARAMURU LTDA;Qualificado;;Lojista;https://www.instagram.com/bazarcaramururecife?igsh=MWU5d2E5aHpvMm0wYw==;ALAGOAS;MACEIO;(82) 98739 3683;Compra Caruaru, Mais, Ouro, Tiziu. Oportunidade para contato · seguindo no Instagram
BAZAR CARAMURU LTDA;Qualificar;;Lojista;;PERNAMBUCO;RECIFE;(81) 3039 1692;
BAZAR GUARANY LTDA;Qualificar;;Lojista;;ALAGOAS;MACEIO;8232218207;
BAZAR GUARANY LTDA;Qualificar;;Lojista;;PERNAMBUCO;RECIFE;(81) 99736 8595;
BAZAR SANTA ANA;Qualificar;;Lojista;;PERNAMBUCO;LIMOEIRO;(81) 99914 2585;
BAZAR SÃO JOÃO;Qualificar;;Lojista;;PERNAMBUCO;SERRA TALHADA;(87) 99624 8872;
BAZAR SÃO JOÃO;Qualificar;;Lojista;;RIO GRANDE DO NORTE;CAICO;(84) 99993.0048;
BAZAR SÃO PAULO;Qualificar;;Lojista;;RIO GRANDE DO NORTE;NATAL;(84) 3223 2426;
BAZAR SÂO PEDRO;Qualificar;;Lojista;;ALAGOAS;MACEIO;82988281750;
Belopipas e Belofogos de Artificio;Qualificar;;Lojista;;SÃO PAULO;SAO PAULO;(11) 97796-6324;
BOA VISTA FOGOS DA AMAZÔNIA;Qualificar;;Lojista;;RORAIMA;BOA VISTA;(95) 99146 9029;
BOZO FOGOS;Em conversão;;Lojista;https://www.instagram.com/bozo.pipass?igsh=Y29wZnVxYmo2bjEw;SÃO PAULO;SAO PAULO;(11) 94266 1378 - (11) 4451 8999;Visitado em 2024. Alexandre está prospectando · seguindo no Instagram
BRASFOGOS FOGOS DE ARTIFICIO;Qualificado;;Lojista;https://www.instagram.com/brasfogoscg?igsh=YnNiZWkwOG5maHZt;MATO GROSSO DO SUL;CAMPO GRANDE;(67) 3382 9695;seguindo no Instagram
BRASIL FX;Qualificado;;Shows - Lojista;https://www.instagram.com/brasilfxfogos?igsh=bGlqMDVvYmpvbnhz;DISTRITO FEDERAL;BRASILIA;(61) 99603 6182;seguindo no Instagram
BRENDA E MALU FOGOS;Qualificado;;Lojista;https://www.instagram.com/brendaemalufogos/;ALAGOAS;MACEIO;(82) 98898 6260;seguindo no Instagram
BS EFEITOS FOGOS E SHOWS;Qualificado;;Lojista;https://www.instagram.com/bsefeitosfx?igsh=MXJ2OWVpdHRmZ3d0eQ==;BAHIA;ILHÉUS;(73) 99114‑6998‬;Shows e efeitos de palco. · seguindo no Instagram
CAÇA E PESCA DO GAÚCHO LTDA ME;Qualificar;;;;RIO GRANDE DO SUL;FREDERICO WESTPHALEN;(55) 0 3744.2422;
CARIRI FOGOS;Qualificado;;Lojista;https://www.instagram.com/caririfogosoficial?igsh=N3V2OGpld2xnZXBu;CEARÁ;JUAZEIRO DO NORTE;(88) 3511.5153;seguindo no Instagram
CARUARU FOGOS;Qualificar;;Lojista;;PERNAMBUCO;PETROLINA;(87) 98826 5084;
CASA ADRIANINO;Qualificado;;Lojista;https://www.instagram.com/casaadrianino/;RIO DE JANEIRO;NILÓPOLIS;(21) 2792 1374;Ainda não é cliente. Prospectando · seguindo no Instagram
CASA BUSCAPÉ;Em conversão;Marquinho;Lojista;;PARANÁ;CURITIBA;(41) 99827 4184;Visitado em Agosto. Cliente do José Roberto. Tabela não enviada · seguindo no Instagram
CASA DAS ARMAS IND. E COM. DE ART. ESPORT LTDA;Qualificar;;;;RIO GRANDE DO SUL;CAXIAS DO SUL;(54) 0 3221.7723;
Casa das Miudezas;Qualificar;;Lojista;;SÃO PAULO;ASSIS;(18) 3322-6226;
CASA DE FOGOS AMAZÔNIA;Qualificar;;Lojista;;RONDÔNIA;PORTO VELHO;(69) 3227 2678;
CASA DE FOGOS CARAMURU;Qualificar;;Lojista;;CEARÁ;FORTALEZA;(85) 99675 5198;
CASA DE FOGOS NORDESTE;Qualificado;;Lojista;https://www.instagram.com/fogosnordeste23?igsh=MTc4MWF0aDI3bTh6cA==;CEARÁ;FORTALEZA;(85) 98745 0907;
CASA DE FOGOS NUNES;Qualificar;;Lojista;;ALAGOAS;ARAPIRACA;(82) 99686 5717;
CASA DE FOGOS SANTO ANTÔNIO;Qualificar;;Lojista;;BAHIA;JEQUIÉ;(73)988311087;
CASA DO FOGUETE COMERCIO VAREJISTA DE FOGOS DE ARTIFICIO LTDA;Qualificar;;Lojista;;SANTA CATARINA;MAFRA;(47) 3642 7395;
CASA DO FOGUETEIRO;Qualificar;;Lojista;;PERNAMBUCO;CARUARU;(81) 3721 6035;
CASA DOS FOGOS;Qualificado;;Lojista;https://www.instagram.com/_casadosfogos?igsh=Ynl2MHFoN29rdGk4;MARANHÃO;SAO LUIS;(98) 3232 6553;seguindo no Instagram
CASA DOS FOGOS;Qualificar;;;;SÃO PAULO;ARAÇATUBA;(18) 3625 2661;Visitado em 2024. Alexandre está prospectando · seguindo no Instagram
CASA DOS FOGOS BIANOR CARVALHO;Qualificar;;Lojista;;PIAUÍ;TERESINA;;
CASA DOS FOGOS SÃO JOSÉ;Qualificado;;Lojista;https://www.instagram.com/casadosfogossaojose?igsh=MTFieGNmdDNuc3Budw==;PARÁ;CASTANHAL;91981645688;seguindo no Instagram
CASA LEAO IND.E COM.DE ARTEF.DE PESCA LT;Qualificar;;Lojista;;PARANÁ;ASSIS CHATEAUBRIAND;(44)  99978 1962;
CASA NANCY PAPELARIA E FOGOS;Qualificar;;Lojista;;SÃO PAULO;TAUBATÉ;(‪12)  3622‑2185‬;Visitado em 2024. Alexandre está prospectando
CASAMANDA FOGOS;Qualificado;;Lojista;https://www.instagram.com/casamanda_fogos?igsh=YTd4N21yMGd6dmRp;SÃO PAULO;PINDAMONHANGABA;(12) 3648 5413;Visitado em 2024. Alexandre está prospectando · seguindo no Instagram
CASCAVEL FOGOS;Qualificar;;Lojista;;PARANÁ;CASCAVEL;(45) 3224 0674;seguindo no Instagram
CENTER FOGOS;Qualificar;;Lojista;;PERNAMBUCO;CARUARU;(81) 99131 6029;
Central Fogos;Qualificar;;Lojista;;SÃO PAULO;HORTOLANDIA;(19) 99239-1429;
CHARUTARIA VARGINHA;Qualificar;;Lojista;;MINAS GERAIS;VARGINHA;(35) 98803 5310;
CHIAPPARINI FOGOS E SHOWS;Qualificar;;Lojista;;PARANÁ;PATO BRANCO;(46) 3225 6969;seguindo no Instagram
China Show Fogos;Qualificar;;Lojista;;SÃO PAULO;SAO PAULO;(11) 96078-6260;
CIA DO FOGUETE;Qualificar;;Lojista;;MINAS GERAIS;GOVERNADOR VALADARES;(33) 3021 5910;
CIA DOS FOGOS;Qualificar;;Shows;;RIO GRANDE DO SUL;LAJEADO;(51) 3784 1120;
CIACAPE SPORTS;Qualificar;;Lojista;;PARANÁ;CIANORTE;(44) 3019 1600;seguindo no Instagram
COIMBRA DISTRIBUIDORA DE FOGOS DE ARTIFICIO LTDA;Qualificar;;Lojista;;PARANÁ;GUARAPUAVA;(42) 3623.4976;Visitado em 2024. Alexandre está prospectando · seguindo no Instagram
COMERCIAL SCHOEPPING;Em conversão;;Lojista;;SANTA CATARINA;JOINVILLE;(47) 3436 2021;
Cooperfogos;Qualificar;;Lojista;;SÃO PAULO;SUMARE;(19) 3854-4300;
CRUZEIRO FOGOS E PIPAS;Qualificar;;Lojista;;PARANÁ;SÃO JOSÉ DOS PINHAIS;(41) 9967 44943;seguindo no Instagram
CUIABÁ FOGOS;Qualificado;;Lojista;https://www.instagram.com/cuiabafogos?igsh=emVtOWFtaDFvZWY1;MATO GROSSO;CUIABA;(65) 99607 0158;seguindo no Instagram
DARIVA FOGOS E PESCA LTDA;Em conversão;Valmir;Lojista;;PARANÁ;FRANCISCO BELTRAO;(46)  3524.9555 - 46 99934 2002;seguindo no Instagram
DAVI PIPAS E FOGOS LTDA;Em conversão;;Lojista;;SANTA CATARINA;JOINVILLE;(47) 999168189;
DELTA FOGOS E PIPAS;Em conversão;Pedro;Lojista;;PARANÁ;CURITIBA;(41) 99278 4743;Visitado em Agosto 25. Vende basicamente Fogos Ouro · seguindo no Instagram
DERCIO FOGOS;Em conversão;Cuca;Lojista;;SÃO PAULO;SAO PAULO;(11) 91698 5453;Visitado em 2024. Segundo maior comprador de SP. Ainda não compra Piromax · seguindo no Instagram
DEUSA FOGOS;Qualificado;;Lojista;https://www.instagram.com/deuza.pipas?igsh=bTh1c2N4cHQ1ZjNl;SÃO PAULO;SUZANO;(11) 95458 5961;Visitado em 2024. Alexandre está prospectando · seguindo no Instagram
Diamond Fireworks and Kites;Qualificar;;Lojista;;SÃO PAULO;VARZEA PAULISTA;(11) 95777-3431;
DIEGO FOGOS;Qualificar;;Lojista;;RIO GRANDE DO NORTE;CURRAIS NOVOS;(84) 99912 2928;
Dilelo Loja Fogos, Pipas e Variedade;Qualificar;;Lojista;;SÃO PAULO;PRAIA GRANDE;(13) 99129-2291;
DISTRIBUIDORA DE FOGOS ITABORAÍ;Qualificado;;Lojista;https://www.instagram.com/fogositaborai/;RIO DE JANEIRO;ITABORAÌ;(21) 96494 2598;Ainda não é cliente. Prospectando · seguindo no Instagram
EC EFEITOS;Qualificado;;Shows;https://www.instagram.com/ecefeitos?igsh=MWswcTJydHV5dTJheA==;CEARÁ;RERIUTABA;(88) 99282 2743;seguindo no Instagram
EDINHO FOGOS E PIPAS (JOSANGELA DO NASCIMENTO 85907014920);Em conversão;Josangela;Lojista;;PARANÁ;CURITIBA;(41) 99635 6800‬;Loja com problemas de pagamento, como informado por outras fábricas. · seguindo no Instagram
EMERSON DE SOUZA AQUINO;Qualificar;;;;RONDÔNIA;JI-PARANA;(69) 9 9208.4888;
EXPLOSÃO FOGOS;Qualificar;;Shows - Lojista;;SANTA CATARINA;CONCÓRDIA;(49) 99171 1949 - (49) 3442 4414;
FARROUPILHA FOGOS;Qualificar;;Lojista;;PARANÁ;MARINGA;(44) 99828 6111;seguindo no Instagram
FEIRA FX;Qualificado;;Shows;https://www.instagram.com/feirafx?igsh=MW8zZWdnczcxMnBnYg==;BAHIA;FEIRA DE SANTANA;(75)  97400-2678;Shows e efeitos de palco. · seguindo no Instagram
FEIRÃO DE FOGOS DA JANE;Qualificar;;Lojista;;ALAGOAS;MACEIO;(82) 98888 7898;
FEIRÃO DOS FOGOS;Qualificar;;Shows - Lojista;;PIAUÍ;TERESINA;(86) 99972 1671;
FELINTO FOGOS;Qualificar;;Lojista;https://www.instagram.com/felintofogos?igsh=azJwYTd6NjNzN3Qw;ALAGOAS;ARAPIRACA;(82) 99985 2086 - 82 99632-0403;Sem postagens em 2025. Ver se continua ativo · seguindo no Instagram
FÊNIX FOGOS E PIPAS;Em conversão;Bacalhau;Lojista;;SÃO PAULO;SAO PAULO;(11) 94786 2691;Visitado em 2024. Quinto maior comprador de SP. Ainda não compra Piromax · seguindo no Instagram
FEST SHOW FOGOS E FESTAS;Qualificar;;Shows - Lojista;;RIO GRANDE DO SUL;GRAVATAÍ;(51) 98118-1794;
FEST SHOW FOGOS E FESTAS;Qualificar;;Shows - Lojista;;RIO GRANDE DO SUL;OSORIO;(51) 99987 3891;
FIREKITE COMÉRCIO DE FOGOS E PIPAS;Qualificar;;Lojista;https://www.instagram.com/paulofirekite?igsh=MW50eXBtcWdhbDM0Zw==;SÃO PAULO;SAO PAULO;(11) 3621 5478;seguindo no Instagram
FIREWORKS FOGS DE ARTIFÍCIO;Qualificar;Ludimila;Lojista;;MINAS GERAIS;CACHOEIRA DE MINAS;(35) 9 9982.1348;
FOGOS ÁGUIA;Qualificar;;Lojista;;PARANÁ;SÃO JOSÉ DOS PINHAIS;(41) 3283 4458;seguindo no Instagram
FOGOS ALADIN PIROTECNIA;Em conversão;;Lojista;https://www.instagram.com/aladinpirotecnia?igsh=MWN4cmtxcnU2Zjdidg==;BAHIA;FEIRA DE SANTANA;(75)  98180 1774‬;Visitado em Fevereiro 26 · seguindo no Instagram
FOGOS AMAZÔNIA;Qualificado;;Lojista;https://www.instagram.com/fogosamazonia?igsh=MTl5OHlkNW1ieXYyMg==;AMAZONAS;MANAUS;(92) 98277 8000;Grande no norte do país. Necessário contato para analisar viabilidade · seguindo no Instagram
FOGOS AMAZÔNIA;Qualificado;;Lojista;https://www.instagram.com/fogosamazoniacba?igsh=MTk4YzgyMWc2aG5kbQ==;MATO GROSSO;CUIABA;(65) 3023 4307;seguindo no Instagram
FOGOS AMORIM;Qualificar;;Lojista;;RIO GRANDE DO SUL;GRAVATAÍ;(51) 98417 0950;
FOGOS AQUARELA;Qualificado;;Shows;https://www.instagram.com/fogosaquarela?igsh=MWRjd294dGRnbjRxcg==;CEARÁ;FORTALEZA;(85) 99969 4949;seguindo no Instagram
FOGOS ARCO-IRIS;Qualificado;;Lojista;https://www.instagram.com/fogosarcoiris?igsh=a2NvYnZha2pyYzg5;CEARÁ;FORTALEZA;(85) 98955 3176;
FOGOS ARSENAL;Qualificar;;Lojista;;SÃO PAULO;PALMEIRA DÒESTE;(17) 99702 2446;Prospectando
Fogos Arte no Ceu;Qualificar;;Lojista;;SÃO PAULO;VARZEA PAULISTA;(11) 97131-9553;
FOGOS ATÔMICA;Qualificar;;Lojista;;RIO GRANDE DO SUL;BENTO GONÇALVES;(54) 3452 2133;
FOGOS BATATA;Qualificado;;Lojista;https://www.instagram.com/fogos_batata?igsh=cHU4eW92M3ZjaGpv;DISTRITO FEDERAL;BRASILIA;(61) 3552 2817;seguindo no Instagram
FOGOS BETO;Em conversão;Beto;Lojista;https://www.instagram.com/fogos.beto?igsh=aXRoZGZodzNyMWZj;SÃO PAULO;FRANCA;(16) 97407 8080;Visitado em Dez 24. Cliente faz pedidos sempre com o Nelinho · seguindo no Instagram
FOGOS BOM;Qualificar;;Lojista;;SERGIPE;ARACAJU;79998292071;
FOGOS CARUARU;Qualificado;;Lojista;https://www.instagram.com/casadefogoscaruaru?igsh=MWtpNjZ0eGFoaDlmZQ==;CEARÁ;CAUCAIA;(85) 3237 1465 - 99121 2868;Compra Super,  Gaúcho, Caruaru, Líder · seguindo no Instagram
FOGOS CARUARU;Qualificado;;Lojista;https://www.instagram.com/fogoscaruaaru?igsh=ZjloYjZmcnVlZGFh;MATO GROSSO;VARZEA GRANDE;(65) 3684 8991;
FOGOS CELUSNIAK;Em conversão;Eliana;Lojista;;PARANÁ;CURITIBA;(41) 99763 2256;Visitado em Agosto 25 · seguindo no Instagram
FOGOS CINELLI;Qualificado;;Shows;https://www.instagram.com/fogos_cinelli/;RIO DE JANEIRO;ENGENHEIRO PAULO DE FRONTIN;(22) 2653 8567;Ainda não é cliente. Prospectando · seguindo no Instagram
FOGOS CRUZARTE;Em conversão;Mario;Lojista;;PARANÁ;CURITIBA;(41) 99119 3126;Visitado em Agosto 25 · seguindo no Instagram
FOGOS DE ARTIFÍCIO SERGIPE;Qualificar;;Lojista;;SERGIPE;ARACAJU;79981539203;
FOGOS E ALEGRIA;Qualificado;;Lojista;https://www.instagram.com/fogosealegria?igsh=Nzd2YjlsdHNucWoy;SÃO PAULO;PRESIDENTE PRUDENTE;(18) 99115 2811;seguindo no Instagram
FOGOS E CIA - LOJA PARQUE DO POVO;Qualificado;;Lojista;https://www.instagram.com/fogosealegria?igsh=Nzd2YjlsdHNucWoy;SÃO PAULO;PRESIDENTE PRUDENTE;(18) 99632 5446;seguindo no Instagram
FOGOS EXPLOSÃO;Qualificar;;Lojista;;BAHIA;ALAGOINHAS;(75) 99903 5393;
FOGOS FLASH BRASIL;Qualificar;;Lojista;;MATO GROSSO;CUIABA;(65) 3634 5819;
FOGOS GUARANY DA VIUVINHA;Qualificar;;Lojista;;PARAÍBA;JOÃO PESSOA;(83) 3221 6391;
FOGOS LAIRA;Qualificar;;Lojista;;MINAS GERAIS;OURO FINO;(35) 3441 1481;
FOGOS LIBERDADE;Em conversão;Lucas;Lojista;https://www.instagram.com/fogosliberdade?igsh=bnM2aGNnMmlibTdx;SÃO PAULO;JUNDIAI;(11) 94775 3522;seguindo no Instagram
FOGOS LÍDER CURITIBA;Em conversão;Leida;Lojista;;PARANÁ;CURITIBA;(41) 99757 7002;Visitado em Agosto 25 · seguindo no Instagram
FOGOS LIMA PIROTECNIA EIRELI;Qualificado;Felipe;Lojista;https://www.instagram.com/fogos_lima/;RIO DE JANEIRO;CARDOSO MOREIRA;(22) 99924‑5931‬;Ainda não é cliente. Prospectando · seguindo no Instagram
FOGOS MACHADO;Em conversão;Luciano;Shows - Lojista;;SANTA CATARINA;FLORIANOPOLIS;(48) 3033 4361;Não consegui visitar. Sem telefone direto do Luciano · seguindo no Instagram
FOGOS MARACANAÚ;Qualificado;;Lojista;https://www.instagram.com/fogosmaracanau?igsh=bnlneGd6MWtpa2Zp;CEARÁ;MARACANAÚ;(85) 98744 7028;seguindo no Instagram
FOGOS MARICHEL;Qualificar;;Lojista;https://www.instagram.com/fogosmarichel?igsh=MTVmMW5wYjdvaWkyNw==;SÃO PAULO;SAO PAULO;(11) 3539 3771;seguindo no Instagram
FOGOS RAJADÃO;Qualificar;;Lojista;;SERGIPE;ARACAJU;79998792071;
FOGOS SANTA BÁRBARA;Qualificar;;Lojista;;BAHIA;EUNÁPOLIS;73998188687;
Fogos Santo Antonio;Qualificar;;Lojista;;SÃO PAULO;MARILIA;(14) 3316-0561;
Fogos São Domingos;Qualificar;;Lojista;;SÃO PAULO;AMERICANA;(19) 3461-8385;
FOGOS SHOW;Qualificar;;Lojista;;DISTRITO FEDERAL;BRASILIA;(61) 3389 2476;
FOGOS SKYBOOM;Qualificar;;Lojista;;SERGIPE;ARACAJU;79988180244;
FOGOS TUPÃ;Qualificar;;Lojista;;SÃO PAULO;TUPÃ;(14) 3441 7484;Prospectando
FOGUETARIA SÃO JOÃO;Qualificar;;Lojista;;AMAZONAS;MANAUS;(92) 98160 0184;
FORTFOGOS;Qualificado;;Lojista;https://www.instagram.com/fortfogosvca?igsh=MWQ3ZXF3dWwyczl3Mw==;BAHIA;VITÓRIA DA CONQUISTA;(77)981064730;Sem postagens em 2025. Ver se continua ativo
FRAGA FOGOS E FESTAS;Qualificar;;Shows - Lojista;;SANTA CATARINA;IÇARA;(48) 99808 0049;
FRANÇA PIROTECNIA;Qualificar;;Shows - Lojista;;SERGIPE;ARACAJU;(79) 99829 2071;
FX EFFECTS E FIREWORKS LTDA;Qualificar;;Shows;;PARANÁ;FRANCISCO BELTRAO;(46) 99901‑7589‬;seguindo no Instagram
Gato Tom Fogos e Pipas;Qualificar;;Lojista;;SÃO PAULO;SAO PAULO;(11) 95972-7307;
GELATTI SHOWS PIROTÉCNICOS;Qualificado;;Shows - Lojista;https://www.instagram.com/gelattishows_?igsh=azU2MHhrZjZnczJw;SÃO PAULO;SANTANA DO PARNAÍBA;(11) 94181 4780;seguindo no Instagram
GIL FOGOS;Qualificado;;Lojista;https://www.facebook.com/share/17GnjnohGY/?mibextid=wwXIfr;SÃO PAULO;MAUA;(11) 99588 9852;
GIORDANI E CIA LTDA;Qualificar;;;;RIO GRANDE DO SUL;ENCANTADO;(51) 0 3751.3255;
GV PIROTECNIA LTDA ME;Em conversão;Elmo Junior;Shows - Lojista;;MINAS GERAIS;GOVERNADOR VALADARES;(33) 99908-1496;Contato em 08/07. Tentando reativar o cliente
HOMERO FOGOS E PIPAS;Em conversão;Homero;Lojista;https://www.instagram.com/homerofogosepipas?igsh=eGdvdnVkc3JiaGUw;SÃO PAULO;SAO PAULO;(11) 94504 2009;Visitado em 2024.  Ainda não compra Piromax · seguindo no Instagram
IDEAL FOGOS;Qualificado;;Lojista;https://www.instagram.com/idealfogos?igsh=MW5pbXRqYTB0OTlwZg==;CEARÁ;FORTALEZA;(85) 99656 4309;seguindo no Instagram
IMPERIO BARRACA DE FOGOS;Qualificar;;Lojista;;SERGIPE;ARACAJU;(79 )99961 7557;
IMPÉRIO DOS FOGOS;Qualificar;Cristiano;Lojista;;MINAS GERAIS;CONTAGEM;(31) 99950 5093;
IMPERIO DOS FOGOS;Em conversão;Fátima;Lojista;;SÃO PAULO;BAURU;(14) 99791‑8724‬;
INDUSTRIA DE FOGOS ALVORADA LTDA;Qualificar;;Lojista;;SANTA CATARINA;NOVA TRENTO;(48) 3267-0117;
INTERFOGOS COMERCIO IMPORTACAO E EXPORTACAO  LTDA;Qualificado;SERGIO;Lojista;https://www.instagram.com/interfogos?igsh=bjhiZTY0bHRraXM5;MATO GROSSO DO SUL;PARANAIBA;(67) 98109 3000;Já foi bom cliente no passado. Aparentemente, está importando · seguindo no Instagram
J.I. FOGOS;Qualificar;;Lojista;;PERNAMBUCO;CUSTÓDIA;(87) 99653 3901;
JOTA EFEITOS VISUAIS (JAMILA CARDOSO);Qualificar;;Shows - Lojista;;SANTA CATARINA;JOINVILLE;(47) 98811 2425;
KABOOM - BALÕES, FESTAS E FOGOS;Qualificar;;Lojista;;RIO GRANDE DO SUL;SANTA MARIA;(55) 3026 6030;
KAHWAGE COMERCIAL LTDA;Qualificar;;Lojista;;PARÁ;BELEM;(91)  3223.1089;
KIMERA FOGOS E PIPAS (FAGULHA COM. DE FOGOS ARTIF.E PIPAS LTDA);Em conversão;Ricardo;Lojista;;PARANÁ;CURITIBA;(41) 3569 3540;Visitado em Agosto 25 · seguindo no Instagram
LANZA SHOWS E FOGOS;Em conversão;Leandro;Shows;;PARANÁ;CURITIBA;(41) 98802 5856;Visitado em Agosto. Cliente do José Roberto · seguindo no Instagram
LB Fogos e Pipas;Qualificar;;Lojista;;SÃO PAULO;SALTO;(19) 99765-6279;
Lero-lero Fogos e Pipas;Qualificar;;Lojista;;SÃO PAULO;VILA MARIA;(11) 2636-8433;
LOJA DE FOGOS FOGUETERIA SÃO MARCOS;Qualificar;;Lojista;;AMAZONAS;MANAUS;(92) 98133 4272;
LOJA DE FOGOS SANTANA;Qualificar;;Lojista;;SERGIPE;ARACAJU;(79) 99932 6532;
LOJA DO BALÃO;Qualificado;;Lojista;https://www.instagram.com/lojaodobalao?igsh=aXpuMHB1MWFrZXM1;PARAÍBA;JOÃO PESSOA;(83) 99858 9359;seguindo no Instagram
LOJÃO DO GERÔNIMO;Qualificar;;Lojista;;PARAÍBA;JOÃO PESSOA;(83) 98633-9068;
LOJÃO DOS FOGOS;Qualificado;;Lojista;https://www.instagram.com/lojaodosfogos?igsh=NjI2bmYzOHNybGZz;MARANHÃO;SAO LUIS;(98) 3249 2442;seguindo no Instagram
LUIZ AMERICO DA FONSECA;Qualificar;;;;RIO GRANDE DO SUL;PELOTAS;(53) 0 3225.6742;
MAGIA LOJA DE FOGOS;Qualificar;;Lojista;;PARANÁ;COLOMBO;(41) 99896 9636;seguindo no Instagram
MAGIC PIROTECNIA E EFEITOS ESPECIAIS;Em conversão;;Lojista;https://www.instagram.com/magicpirotecnia/;RIO DE JANEIRO;NOVA IGUACU;(21) 97104 2094;seguindo no Instagram
MARINGA FOGOS E PESCA;Qualificar;;Lojista;;PARANÁ;MARINGA;(44) 3262 1710;seguindo no Instagram
MAROMBA FOGOS;Qualificado;;Lojista;https://www.instagram.com/marombafogos?igsh=MTA0MXJydTJ6ajFtZQ==;BAHIA;CRUZ DAS ALMAS;(75) 99254 4366;Barraca de fogos. Tem produtos nossos divulgados no Instagram. Analisar de quem compra · seguindo no Instagram
Marquinhos Fogos de Artificio;Qualificar;;Lojista;;SÃO PAULO;SAO PAULO;(11) 94622-9041;
MAURO FOGOS E PIPAS;Em conversão;Mauro;Shows - Lojista;;PARANÁ;SÃO JOSÉ DOS PINHAIS;(41) 3587 1188;Tabela enviada · seguindo no Instagram
